330000,浙江省,,,Y
330100,杭州市,330000,310000,Y
330102,上城区,330100,311500,Y
330103,下城区,330100,310006,Y
330104,江干区,330100,310002,Y
330105,拱墅区,330100,310011,Y
330106,西湖区,330100,310013,Y
330108,滨江区,330100,310051,Y
330109,萧山区,330100,311200,Y
330110,余杭区,330100,311100,Y
330122,桐庐县,330100,311500,Y
330127,淳安县,330100,311700,Y
330182,建德市,330100,311600,Y
330183,富阳市,330100,311400,Y
330185,临安市,330100,311300,Y
330200,宁波市,330000,315000,Y
330203,海曙区,330200,315000,Y
330204,江东区,330200,315040,Y
330205,江北区,330200,315020,Y
330206,北仑区,330200,315800,Y
330211,镇海区,330200,315200,Y
330212,鄞州区,330200,315100,Y
330225,象山县,330200,315700,Y
330226,宁海县,330200,315600,Y
330281,余姚市,330200,315400,Y
330282,慈溪市,330200,315300,Y
330283,奉化市,330200,315500,Y
330300,温州市,330000,325000,Y
330302,鹿城区,330300,325000,Y
330303,龙湾区,330300,325024,Y
330304,瓯海区,330300,325005,Y
330322,洞头县,330300,325700,Y
330324,永嘉县,330300,325100,Y
330326,平阳县,330300,325400,Y
330327,苍南县,330300,325800,Y
330328,文成县,330300,325300,Y
330329,泰顺县,330300,325500,Y
330381,瑞安市,330300,325200,Y
330382,乐清市,330300,325600,Y
330400,嘉兴市,330000,314000,Y
330402,南湖区,330400,314000,Y
330411,秀洲区,330400,314001,Y
330421,嘉善县,330400,314100,Y
330424,海盐县,330400,314300,Y
330481,海宁市,330400,314400,Y
330482,平湖市,330400,314200,Y
330483,桐乡市,330400,314500,Y
330500,湖州市,330000,313000,Y
330502,吴兴区,330500,313000,Y
330503,南浔区,330500,313009,Y
330521,德清县,330500,313200,Y
330522,长兴县,330500,313100,Y
330523,安吉县,330500,313300,Y
330600,绍兴市,330000,312000,Y
330602,越城区,330600,312000,Y
330621,绍兴县,330600,312000,Y
330624,新昌县,330600,312500,Y
330681,诸暨市,330600,311800,Y
330682,上虞市,330600,312300,Y
330683,嵊州市,330600,312400,Y
330700,金华市,330000,321000,Y
330702,婺城区,330700,321051,Y
330703,金东区,330700,321002,Y
330723,武义县,330700,321200,Y
330726,浦江县,330700,322200,Y
330727,磐安县,330700,322300,Y
330781,兰溪市,330700,321100,Y
330782,义乌市,330700,322000,Y
330783,东阳市,330700,322100,Y
330784,永康市,330700,321300,Y
330800,衢州市,330000,324000,Y
330802,柯城区,330800,324000,Y
330803,衢江区,330800,324000,Y
330822,常山县,330800,324200,Y
330824,开化县,330800,324300,Y
330825,龙游县,330800,324400,Y
330881,江山市,330800,324100,Y
330900,舟山市,330000,316000,Y
330902,定海区,330900,316000,Y
330903,普陀区,330900,316100,Y
330921,岱山县,330900,316200,Y
330922,嵊泗县,330900,202400,Y
331000,台州市,330000,318000,Y
331002,椒江区,331000,318000,Y
331003,黄岩区,331000,318020,Y
331004,路桥区,331000,318050,Y
331021,玉环县,331000,317600,Y
331022,三门县,331000,317100,Y
331023,天台县,331000,317200,Y
331024,仙居县,331000,317300,Y
331081,温岭市,331000,317500,Y
331082,临海市,331000,317000,Y
331100,丽水市,330000,323000,Y
331102,莲都区,331100,323000,Y
331121,青田县,331100,323900,Y
